id_municipio,id_uf,meta_alvo,taxa_base,media_portugues_base,gap_base_meta,uf,regiao,prob_risco_abaixo_meta_2025,pred_risco_abaixo_meta_2025,faixa_risco
4100707,41,76.32,64.66,749.59,-11.659999999999997,PR,Sul,0.7590642650887814,1,Muito alto
1501105,15,57.48,53.31,739.02,-4.169999999999995,PA,Norte,0.7590493683938152,1,Muito alto
2922904,29,37.7,31.41,724.11,-6.290000000000003,BA,Nordeste,0.7588921891551401,1,Muito alto
4321832,43,47.33,40.0,729.71,-7.329999999999998,RS,Sul,0.7584702567162271,1,Muito alto
4107603,41,80.0,71.76,757.71,-8.239999999999995,PR,Sul,0.7583081975831152,1,Muito alto
2414902,24,65.79,61.9,760.74,-3.8900000000000077,RN,Nordeste,0.7583020319811602,1,Muito alto
4104428,41,75.4,64.69,746.36,-10.710000000000008,PR,Sul,0.7582999299841071,1,Muito alto
1703891,17,48.13,23.86,717.31,-24.270000000000003,TO,Norte,0.7582029952019824,1,Muito alto
5008008,50,66.78,47.09,737.0,-19.689999999999998,MS,Centro-Oeste,0.7579726126762952,1,Muito alto
3520202,35,67.46,50.61,745.66,-16.849999999999994,SP,Sudeste,0.7577998407140433,1,Muito alto
2101608,21,70.11,64.05,750.72,-6.060000000000002,MA,Nordeste,0.7573509331292007,1,Muito alto
1304401,13,52.79,46.46,735.4,-6.329999999999998,AM,Norte,0.7564836132113432,1,Muito alto
2112803,21,65.36,53.36,741.68,-12.0,MA,Nordeste,0.756417434781106,1,Muito alto
3304151,33,70.62,70.11,753.53,-0.5100000000000051,RJ,Sudeste,0.7562543897608964,1,Muito alto
4314407,43,46.81,39.4,728.65,-7.410000000000004,RS,Sul,0.7560968259993868,1,Muito alto
2612703,26,80.0,70.05,761.84,-9.950000000000003,PE,Nordeste,0.7559127223614747,1,Muito alto
3302106,33,70.01,70.09,751.5,0.0799999999999983,RJ,Sudeste,0.7552195815783188,1,Muito alto
3523503,35,67.63,54.18,744.12,-13.449999999999996,SP,Sudeste,0.7545033339788599,1,Muito alto
4315073,43,68.59,88.2,771.19,19.61,RS,Sul,0.7544499253555461,1,Muito alto
3300225,33,68.12,63.64,749.64,-4.480000000000004,RJ,Sudeste,0.7542419858679303,1,Muito alto
2203008,22,79.95,79.55,771.95,-0.4000000000000057,PI,Nordeste,0.753692529814384,1,Muito alto
5005251,50,80.0,77.47,762.78,-2.530000000000001,MS,Centro-Oeste,0.7535988793486416,1,Muito alto
4126678,41,75.72,65.46,747.69,-10.260000000000005,PR,Sul,0.7535092044520271,1,Muito alto
2929800,29,30.12,20.73,705.55,-9.39,BA,Nordeste,0.7533224887738819,1,Muito alto
4205605,42,80.0,70.47,756.09,-9.530000000000001,SC,Sul,0.7526926626774105,1,Muito alto
4118501,41,78.74,71.14,754.51,-7.599999999999994,PR,Sul,0.7525781089249771,1,Muito alto
4312708,43,54.22,52.4,746.41,-1.8200000000000003,RS,Sul,0.7517223454303638,1,Muito alto
2510204,25,56.96,38.04,726.55,-18.92,PB,Nordeste,0.751115325935836,1,Muito alto
5215207,52,80.0,54.84,730.67,-25.159999999999997,GO,Centro-Oeste,0.750108208629549,1,Muito alto
2107209,21,61.87,46.83,734.93,-15.04,MA,Nordeste,0.7500333375492978,1,Muito alto
4113452,41,80.0,72.9,758.18,-7.099999999999994,PR,Sul,0.7497985297485781,1,Alto
2206605,22,71.24,57.85,757.28,-13.389999999999993,PI,Nordeste,0.7497723909130096,1,Alto
2605509,26,65.28,41.36,731.05,-23.92,PE,Nordeste,0.749474683050815,1,Alto
4209458,42,78.99,66.07,756.23,-12.920000000000002,SC,Sul,0.7494341058575811,1,Alto
3305208,33,63.99,55.74,741.39,-8.25,RJ,Sudeste,0.7491891805954607,1,Alto
3304003,33,65.7,60.43,744.15,-5.270000000000003,RJ,Sudeste,0.7486512821188566,1,Alto
3524600,35,69.05,54.8,749.7,-14.25,SP,Sudeste,0.7486268625698904,1,Alto
1507805,15,47.44,35.9,717.37,-11.54,PA,Norte,0.7484562890178628,1,Alto
2110039,21,80.0,85.76,771.66,5.760000000000005,MA,Nordeste,0.7482901219135182,1,Alto
2804508,28,44.41,31.24,711.13,-13.169999999999998,SE,Nordeste,0.7480224108668722,1,Alto
4120309,41,80.0,75.0,756.94,-5.0,PR,Sul,0.7476397168269625,1,Alto
2204600,22,80.0,81.47,771.63,1.4699999999999989,PI,Nordeste,0.7476196566577092,1,Alto
4120408,41,77.36,62.98,756.46,-14.380000000000003,PR,Sul,0.7471224738034483,1,Alto
2406502,24,48.64,35.61,720.1,-13.030000000000001,RN,Nordeste,0.7471182757872327,1,Alto
2914208,29,52.91,65.38,755.59,12.469999999999999,BA,Nordeste,0.74682370995832,1,Alto
4114708,41,69.61,49.96,738.22,-19.65,PR,Sul,0.7467599683453892,1,Alto
4101606,41,76.8,67.63,751.04,-9.170000000000002,PR,Sul,0.7465731064036577,1,Alto
2413359,24,46.99,27.68,720.15,-19.310000000000002,RN,Nordeste,0.7465471014260002,1,Alto
3512407,35,76.12,69.6,764.53,-6.52000000000001,SP,Sudeste,0.7464934139002309,1,Alto
3537701,35,80.0,76.68,773.29,-3.319999999999993,SP,Sudeste,0.7463580174101572,1,Alto
2702009,27,76.49,77.24,769.87,0.75,AL,Nordeste,0.7463423844912672,1,Alto
1500206,15,51.93,41.73,729.65,-10.200000000000003,PA,Norte,0.745840453384242,1,Alto
